1483751847.700	/rooms	935	382	192	10	351	42	20	173	71	0
1483751847.703	/rooms/9	1024	315	186	11	512	17	20	173	71	0
1483751847.709	/rooms/9	978	222	101	6	649	11	20	173	71	0
1483751847.714	/rooms	1054	402	365	7	280	32	20	173	71	0
1483751847.718	/rooms/9	586	172	94	6	314	10	20	173	71	0
1483751847.727	/rooms/9	726	244	130	10	342	15	20	173	71	0
1483751847.728	/rooms	453	146	93	9	205	12	20	173	71	0
1483751847.733	/rooms/9	535	218	95	6	216	11	20	173	71	0
1483751847.742	/rooms/9	847	204	115	8	520	13	20	173	71	0
1483751847.744	/rooms	2297	858	247	67	1125	45	20	173	71	0
1483751847.748	/rooms/9	541	230	114	6	191	29	20	173	71	0
1483751847.753	/rooms/9	373	89	65	35	184	37	20	173	71	0
1483751847.759	/rooms	1041	521	159	9	352	40	20	173	71	0
1483751847.765	/rooms/9	911	597	88	7	219	129	20	173	71	0
1483751847.769	/rooms/9	289	69	56	6	158	8	20	173	71	0
1483751847.774	/rooms	709	262	160	12	275	19	20	173	71	0
1483751847.780	/rooms/9	1271	871	126	9	265	16	20	173	71	0
1483751847.783	/rooms/9	438	136	81	6	215	9	20	173	71	0
1483751847.790	/rooms	689	214	127	10	338	15	20	173	71	0
1483751847.794	/rooms/9	835	383	128	8	316	16	20	173	71	0
1483751847.802	/rooms/9	541	153	126	10	252	12	20	173	71	0
1483751847.803	/rooms	342	117	60	6	159	9	20	173	71	0
1483751847.808	/rooms/9	915	338	182	10	385	41	20	173	71	0
1483751847.815	/rooms/9	930	484	161	26	259	81	20	173	71	0
1483751847.819	/rooms	599	305	111	24	159	62	20	173	71	0
1483751847.824	/rooms/9	1021	550	170	28	273	91	20	173	71	0
1483751847.829	/rooms/9	513	161	94	6	252	9	20	173	71	0
1483751847.833	/rooms	335	92	65	6	172	8	20	173	71	0
1483751847.839	/rooms/9	1420	598	381	22	419	80	20	173	71	0
1483751847.843	/rooms/9	593	207	117	8	261	13	20	173	71	0
1483751847.848	/rooms	507	157	91	6	253	11	20	173	71	0
1483751847.854	/rooms/9	498	147	114	9	228	15	20	173	71	0
1483751847.859	/rooms/9	544	191	94	6	253	12	20	173	71	0
1483751847.864	/rooms	487	156	87	6	238	10	20	173	71	0
1483751847.869	/rooms/9	384	148	89	6	141	27	20	173	71	0
1483751847.874	/rooms/9	868	340	125	8	395	15	20	173	71	0
1483751847.878	/rooms	706	403	123	8	172	13	20	173	71	0
1483751847.883	/rooms/9	350	102	71	6	171	8	20	173	71	0
1483751847.889	/rooms/9	703	226	134	9	334	15	20	173	71	0
1483751847.894	/rooms	639	220	124	9	286	15	20	173	71	0
1483751847.899	/rooms/9	310	85	63	6	156	9	20	173	71	0
1483751847.903	/rooms/9	780	429	138	28	185	87	20	173	71	0
1483751847.908	/rooms	910	513	105	6	286	97	20	173	71	0
1483751847.913	/rooms/9	524	176	96	6	246	10	20	173	71	0
1483751847.918	/rooms/9	502	222	103	22	155	49	20	173	71	0
1483751847.924	/rooms	6504	439	5735	114	216	136	20	173	71	0
1483751847.930	/rooms/9	552	341	56	6	149	257	20	173	71	0
1483751847.942	/rooms/9	832	261	115	100	356	177	20	173	71	0
1483751847.942	/rooms	876	202	85	421	168	551	20	173	71	0
1483751847.944	/rooms/9	946	334	156	86	370	89	20	173	71	0
1483751847.948	/rooms/9	834	421	154	25	234	73	20	173	71	0
1483751847.954	/rooms	504	175	97	6	226	12	20	173	71	0
1483751847.962	/rooms/9	428	127	85	7	209	5	20	173	71	0
1483751847.971	/rooms/9	554	190	85	57	222	111	20	173	71	0
1483751847.971	/rooms	666	146	46	256	218	354	20	173	71	0
1483751847.974	/rooms/9	906	210	99	6	591	11	20	173	71	0
1483751847.978	/rooms/9	884	444	157	24	259	68	20	173	71	0
1483751847.984	/rooms	489	151	93	6	239	10	20	173	71	0
1483751847.991	/rooms/9	1009	454	140	9	406	38	20	173	71	0
1483751847.993	/rooms/9	638	163	185	10	280	15	20	173	71	0
1483751847.999	/rooms	646	193	96	6	351	11	20	173	71	0
1483751848.004	/rooms/9	1059	460	141	8	450	13	20	173	71	0
1483751848.013	/rooms/9	617	252	95	58	212	135	20	173	71	0
1483751848.013	/rooms	604	179	46	249	130	358	20	173	71	0
1483751848.020	/rooms/9	967	521	165	28	253	93	20	173	71	0
1483751848.024	/rooms/9	761	233	148	10	370	16	20	173	71	0
1483751848.029	/rooms	1009	534	172	50	253	116	20	173	71	0
1483751848.033	/rooms/9	898	421	156	25	296	69	20	173	71	0
1483751848.038	/rooms/9	972	310	167	42	453	74	20	173	71	0
1483751848.044	/rooms	1314	588	229	119	378	99	20	173	71	0
1483751848.049	/rooms/9	981	550	169	30	232	101	20	173	71	0
